model_size,context_length,batch_size,mode,mixed_precision,warmup_steps,measure_steps,max_memory_allocated_bytes,max_memory_allocated_mib,max_memory_reserved_bytes,max_memory_reserved_mib,snapshot_path,status,error_message
medium,128,4,forward,FALSE,3,10,1736814592,1656.355469,1763704832,1682,E:\Graduate\1st Grade\CS336\assignment2-systems\cs336_systems\outputs\memory\snapshots\medium_ctx128_forward_fp32.pickle,ok,
medium,128,4,forward,TRUE,3,10,2542923776,2425.121094,2562719744,2444,E:\Graduate\1st Grade\CS336\assignment2-systems\cs336_systems\outputs\memory\snapshots\medium_ctx128_forward_bf16.pickle,ok,
medium,128,4,train,FALSE,3,10,8511549952,8117.24658203125,8613003264,8214,E:\Graduate\1st Grade\CS336\assignment2-systems\cs336_systems\outputs\memory\snapshots\medium_ctx128_train_fp32.pickle,ok,
medium,128,4,train,TRUE,3,10,8501064192,8107.24658203125,8808038400,8400,E:\Graduate\1st Grade\CS336\assignment2-systems\cs336_systems\outputs\memory\snapshots\medium_ctx128_train_bf16.pickle,ok,
medium,256,4,forward,FALSE,3,10,1800036352,1716.648438,5179965440,4940,E:\Graduate\1st Grade\CS336\assignment2-systems\cs336_systems\outputs\memory\snapshots\medium_ctx256_forward_fp32.pickle,ok,
medium,256,4,forward,TRUE,3,10,2565361664,2446.519531,2610954240,2490,E:\Graduate\1st Grade\CS336\assignment2-systems\cs336_systems\outputs\memory\snapshots\medium_ctx256_forward_bf16.pickle,ok,
medium,256,4,train,FALSE,3,10,9116419072,8694.0947265625,9141485568,8718,E:\Graduate\1st Grade\CS336\assignment2-systems\cs336_systems\outputs\memory\snapshots\medium_ctx256_train_fp32.pickle,ok,
medium,256,4,train,TRUE,3,10,8539211264,8143.62646484375,8629780480,8230,E:\Graduate\1st Grade\CS336\assignment2-systems\cs336_systems\outputs\memory\snapshots\medium_ctx256_train_bf16.pickle,ok,
medium,512,4,forward,FALSE,3,10,2022682624,1928.980469,5549064192,5292,E:\Graduate\1st Grade\CS336\assignment2-systems\cs336_systems\outputs\memory\snapshots\medium_ctx512_forward_fp32.pickle,ok,
medium,512,4,forward,TRUE,3,10,2729422848,2602.980469,2812280832,2682,E:\Graduate\1st Grade\CS336\assignment2-systems\cs336_systems\outputs\memory\snapshots\medium_ctx512_forward_bf16.pickle,ok,
medium,512,4,train,FALSE,3,10,14738576384,14055.8017578125,15250489344,14544,E:\Graduate\1st Grade\CS336\assignment2-systems\cs336_systems\outputs\memory\snapshots\medium_ctx512_train_fp32.pickle,ok,
medium,512,4,train,TRUE,3,10,12375798784,11802.4814453125,12654215168,12068,E:\Graduate\1st Grade\CS336\assignment2-systems\cs336_systems\outputs\memory\snapshots\medium_ctx512_train_bf16.pickle,ok,
