model_size,mode,device,seed,vocab_size,context_length,batch_size,rope_theta,d_model,d_ff,num_layers,num_heads,warmup_steps,measure_steps,learning_rate,enable_nvtx,mean_seconds,stdev_seconds,min_seconds,max_seconds,total_seconds,steps_per_second,step_times_seconds
small,forward,cuda,0,10000,128,4,10000,768,3072,12,12,0,10,0.001,FALSE,0.1185800899998867,0.23169264582994847,0.039823600000090664,0.7778495000002295,1.185800899998867,8.433118915670882,"[0.7778495000002295, 0.04500779999943916, 0.04832209999949555, 0.051947199999631266, 0.05416309999964142, 0.04240140000001702, 0.0435367000009137, 0.04130540000005567, 0.039823600000090664, 0.04144409999935306]"
small,forward,cuda,0,10000,128,4,10000,768,3072,12,12,1,10,0.001,FALSE,0.053086230000008075,0.003579119435482589,0.049706699999660486,0.059050899999419926,0.5308623000000807,18.83727663463478,"[0.05140449999998964, 0.05824829999983194, 0.05653369999890856, 0.04973980000067968, 0.05046000000038475, 0.049706699999660486, 0.059050899999419926, 0.05229870000039227, 0.05319770000096469, 0.050221999999848776]"
small,forward,cuda,0,10000,128,4,10000,768,3072,12,12,5,10,0.001,FALSE,0.06000125000009575,0.004196158700821604,0.05365710000114632,0.06582609999895794,0.6000125000009575,16.666319451651493,"[0.05365710000114632, 0.061707400000159396, 0.06582609999895794, 0.06351200000062818, 0.05592910000086704, 0.06179909999991651, 0.06355470000016794, 0.056619099999807077, 0.06200619999981427, 0.05540169999949285]"
medium,forward,cuda,0,10000,128,4,10000,1024,4096,24,16,0,10,0.001,FALSE,0.1892792999999074,0.17830787227805575,0.13136649999978545,0.6967439999989438,1.8927929999990738,5.283197898557789,"[0.6967439999989438, 0.134519299999738, 0.13343780000104744, 0.13231030000133615, 0.13240469999982452, 0.1332762999991246, 0.1336621999998897, 0.13136649999978545, 0.1336827999984962, 0.131389100000888]"
medium,forward,cuda,0,10000,128,4,10000,1024,4096,24,16,1,10,0.001,FALSE,0.15686428000008162,0.006219201173924897,0.1491182999998273,0.16515609999987646,1.5686428000008164,6.374937621232059,"[0.16289250000045286, 0.16395980000015697, 0.15527169999950274, 0.160274699999718, 0.16515609999987646, 0.15037940000001981, 0.15008929999930842, 0.1491182999998273, 0.15949640000144427, 0.15200460000050953]"
medium,forward,cuda,0,10000,128,4,10000,1024,4096,24,16,5,10,0.001,FALSE,0.1517724699999235,0.004811594028890029,0.1471029999993334,0.16155299999991257,1.5177246999992349,6.588810210445308,"[0.16155299999991257, 0.14922560000013618, 0.15167870000004768, 0.15958759999921313, 0.15034000000014203, 0.14944529999957012, 0.14990510000097856, 0.15031579999958922, 0.14857060000031197, 0.1471029999993334]"
large,forward,cuda,0,10000,128,4,10000,1280,5120,36,20,0,10,0.001,FALSE,0.47063774000016567,0.2188531432296465,0.383740499999476,1.0926507999993191,4.7063774000016565,2.1247764788256207,"[1.0926507999993191, 0.3964237000000139, 0.4158413000004657, 0.3989632000011625, 0.40873459999966144, 0.38401970000086294, 0.383740499999476, 0.3999082999998791, 0.412447599999723, 0.41364770000109274]"
large,forward,cuda,0,10000,128,4,10000,1280,5120,36,20,1,10,0.001,FALSE,0.3060261899996476,0.01224962954689258,0.2865208999992319,0.3300619000001461,3.060261899996476,3.2676941800345634,"[0.31409119999989343, 0.30773499999850173, 0.30911769999875105, 0.29068550000010873, 0.2865208999992319, 0.30243160000100033, 0.3101197999985743, 0.29992680000032124, 0.30957149999994726, 0.3300619000001461]"
large,forward,cuda,0,10000,128,4,10000,1280,5120,36,20,5,10,0.001,FALSE,0.3547553500000504,0.009640563062650855,0.3355260999996972,0.36513489999924786,3.547553500000504,2.8188440287083987,"[0.363044900001114, 0.3502184999997553, 0.34715740000137885, 0.3604192000002513, 0.3498681000000943, 0.35030990000086604, 0.3618594999989, 0.36401499999919906, 0.36513489999924786, 0.3355260999996972]"
small,forward-backward,cuda,0,10000,128,4,10000,768,3072,12,12,0,10,0.001,FALSE,0.1681609200004459,0.22393175970574122,0.09034240000255522,0.805309399998805,1.6816092000044591,5.946684877778668,"[0.805309399998805, 0.09300530000109575, 0.10414650000166148, 0.09859660000074655, 0.09034240000255522, 0.09161390000008396, 0.09285729999828618, 0.10184400000071037, 0.09939999999915017, 0.10449380000136443]"
small,forward-backward,cuda,0,10000,128,4,10000,768,3072,12,12,1,10,0.001,FALSE,0.09962106999992101,0.006963340314040613,0.09114930000214372,0.11511279999831459,0.9962106999992102,10.03803713412025,"[0.10093880000204081, 0.1039688999990176, 0.11511279999831459, 0.10001199999896926, 0.10135919999811449, 0.09442459999991115, 0.0913990000008198, 0.10054080000190879, 0.09730529999797, 0.09114930000214372]"
small,forward-backward,cuda,0,10000,128,4,10000,768,3072,12,12,5,10,0.001,FALSE,0.09915486000063538,0.007762698860489658,0.0898644000008062,0.10979480000241892,0.9915486000063538,10.085234349517432,"[0.10979480000241892, 0.10106590000214055, 0.10538409999935539, 0.09104019999722368, 0.10958490000120946, 0.09713190000184113, 0.10324260000197683, 0.09012989999973797, 0.09430989999964368, 0.0898644000008062]"
medium,forward-backward,cuda,0,10000,128,4,10000,1024,4096,24,16,0,10,0.001,FALSE,0.29387739000012514,0.18167499323276637,0.22986690000107046,0.8107424000008905,2.9387739000012516,3.4027796422160077,"[0.8107424000008905, 0.2454418999986956, 0.2412841000004846, 0.24139180000202032, 0.23481009999886737, 0.23728489999848534, 0.23229219999848283, 0.2322587000016938, 0.2334009000005608, 0.22986690000107046]"
medium,forward-backward,cuda,0,10000,128,4,10000,1024,4096,24,16,1,10,0.001,FALSE,0.2451982799993857,0.013565464903925793,0.23335229999793228,0.2802860999981931,2.451982799993857,4.078332033986965,"[0.25390279999919585, 0.2802860999981931, 0.240563999999722, 0.23335229999793228, 0.2386731000005966, 0.23879799999849638, 0.24172309999994468, 0.2473476999984996, 0.23768360000030953, 0.23965210000096704]"
medium,forward-backward,cuda,0,10000,128,4,10000,1024,4096,24,16,5,10,0.001,FALSE,0.2310557400011021,0.001457687746534944,0.22907499999928405,0.23356090000015683,2.310557400011021,4.327959997856925,"[0.2318239000014728, 0.23246760000256472, 0.22907499999928405, 0.23066930000277353, 0.22947130000102334, 0.23356090000015683, 0.23000390000015614, 0.2324633000025642, 0.2304958999993687, 0.23052630000165664]"
large,forward-backward,cuda,0,10000,128,4,10000,1280,5120,36,20,0,10,0.001,FALSE,10.17958477999964,1.8239125091301671,8.114488899998832,12.884445799998502,101.79584779999641,0.0982358339374266,"[12.420298900000489, 10.401484499998332, 10.740678799997113, 11.041088500001933, 12.884445799998502, 11.346971400002076, 8.490997299999435, 8.140728899998066, 8.214664800001628, 8.114488899998832]"
large,forward-backward,cuda,0,10000,128,4,10000,1280,5120,36,20,1,10,0.001,FALSE,7.671857719999752,0.09343490009248108,7.4981731999978365,7.765650299999834,76.71857719999753,0.13034652576951494,"[7.5512167000015324, 7.765650299999834, 7.4981731999978365, 7.664986700001464, 7.75817829999869, 7.704075400000875, 7.707655099999101, 7.760657599999831, 7.711920499998087, 7.596063400000276]"
large,forward-backward,cuda,0,10000,128,4,10000,1280,5120,36,20,5,10,0.001,FALSE,8.12531589999926,0.40541093320205535,7.9220265000003565,9.260958599999867,81.25315899999259,0.12307213803220761,"[7.9253581999983, 8.047079399999348, 7.963608000001841, 8.137438399997336, 7.933718199998111, 7.9220265000003565, 8.05383289999736, 7.955416900000273, 8.0537218999998, 9.260958599999867]"
small,train-step,cuda,0,10000,128,4,10000,768,3072,12,12,0,10,0.001,FALSE,0.18486480999999913,0.18335622078583907,0.1149440000008326,0.7061288000004424,1.8486480999999912,5.409358330555203,"[0.7061288000004424, 0.12031890000071144, 0.1149440000008326, 0.11812749999808148, 0.12441089999992982, 0.12163009999858332, 0.1307858000000124, 0.14138850000017555, 0.13566630000059376, 0.13524730000062846]"
small,train-step,cuda,0,10000,128,4,10000,768,3072,12,12,1,10,0.001,FALSE,0.1237804699998378,0.009472693453845004,0.11364559999856283,0.1384475000013481,1.237804699998378,8.078818896077147,"[0.1137721999984933, 0.11364559999856283, 0.11612120000063442, 0.11965960000088671, 0.12326240000038524, 0.12232699999731267, 0.11900880000030156, 0.1384475000013481, 0.13514710000163177, 0.13641329999882146]"
small,train-step,cuda,0,10000,128,4,10000,768,3072,12,12,5,10,0.001,FALSE,0.12456306000021869,0.008530814051134848,0.1150383000021975,0.14017339999918477,1.2456306000021868,8.028062252149589,"[0.11898650000148336, 0.1256786000012653, 0.12749849999818252, 0.1236745999995037, 0.1150383000021975, 0.1154476000010618, 0.12354810000033467, 0.14017339999918477, 0.1371155999986513, 0.11846940000032191]"
medium,train-step,cuda,0,10000,128,4,10000,1024,4096,24,16,0,10,0.001,FALSE,3.6003529399993566,0.7827422191476114,1.7959617999986222,4.408290100000158,36.00352939999357,0.2777505474227698,"[1.7959617999986222, 3.407862000000023, 4.202852899998106, 3.3874747999980173, 4.36125549999997, 3.4192944999995234, 4.269269899999927, 3.375126499999169, 4.408290100000158, 3.3761414000000514]"
medium,train-step,cuda,0,10000,128,4,10000,1024,4096,24,16,1,10,0.001,FALSE,4.717533029999322,0.2962435355549156,4.330857299999479,5.081251899999188,47.17533029999322,0.21197519840155601,"[4.330857299999479, 4.434007100000599, 4.35527379999985, 4.994647399998939, 5.081251899999188, 4.68934789999912, 4.908185399999638, 4.840602100000979, 4.486232899998868, 5.0549244999965595]"
medium,train-step,cuda,0,10000,128,4,10000,1024,4096,24,16,5,10,0.001,FALSE,3.838082860000577,0.45006393604558165,3.35957640000197,4.311984300002223,38.38082860000577,0.2605467459865756,"[4.1309369999980845, 3.3732863000004727, 4.304965100000118, 3.5561969000009412, 4.236666400000104, 3.3710327000007965, 4.310484699999506, 3.35957640000197, 4.311984300002223, 3.4256988000015554]"
medium,train-step,cuda,0,10000,128,4,10000,1024,4096,24,16,5,10,0.001,TRUE,3.9115970899994865,0.4543720018188762,3.461003799999162,4.3729481999980635,39.11597089999486,0.25565005213768865,"[3.4708900000005087, 4.325169499999902, 3.5088962000008905, 4.30424480000147, 3.493361199998617, 4.3729481999980635, 3.4711649999990186, 4.3540080999991915, 3.461003799999162, 4.35428409999804]"
medium,forward,cuda,0,10000,128,4,10000,1024,4096,24,16,5,10,0.001,TRUE,0.097135660001004,0.0023349651122442903,0.09309910000229138,0.10099730000001728,0.97135660001004,10.29488037647208,"[0.09721800000261283, 0.09558069999911822, 0.09692899999936344, 0.10099730000001728, 0.0965295000023616, 0.09309910000229138, 0.09784009999930277, 0.09599760000128299, 0.09645560000353726, 0.10070970000015222]"
large,forward,cuda,0,10000,128,4,10000,1280,5120,36,20,5,10,0.001,TRUE,0.16036947999964468,0.005385515285966146,0.15337319999889587,0.17401090000203112,1.6036947999964468,6.235600439698474,"[0.1599409000009473, 0.15778549999959068, 0.15843859999949927, 0.15337319999889587, 0.17401090000203112, 0.1604364999984682, 0.1577536999975564, 0.16299889999936568, 0.15965109999888227, 0.15930550000121002]"
small,forward,cuda,0,10000,128,4,10000,768,3072,12,12,5,10,0.001,TRUE,0.0581600299999991,0.0027413834465073034,0.054916599998250604,0.0630751999997301,0.581600299999991,17.193938861448586,"[0.060355300000082934, 0.055675800002063625, 0.0558539000012388, 0.0630751999997301, 0.05936429999928805, 0.05634469999858993, 0.060516700003063306, 0.05601519999981974, 0.054916599998250604, 0.05948259999786387]"
