Time (%),Total Time (ns),Num Calls,Avg (ns),Med (ns),Min (ns),Max (ns),StdDev (ns),Name
62.3,1555657916,56357,27603.6,14407.0,6812,68823230,485643.0,cudaLaunchKernel
15.9,396978479,970,409256.2,30778.0,14097,19805072,1236438.8,cudaMemcpyAsync
5.6,140854477,26,5417479.9,33789.0,1974,25677319,8537635.6,cudaDeviceSynchronize
5.6,139841838,7590,18424.5,14031.5,6432,1042760,22923.7,cudaMemsetAsync
3.1,78457979,192,408635.3,1743.0,491,77431457,5587919.9,cudaStreamIsCapturing_v10000
1.7,43038217,39795,1081.5,541.0,270,4773064,36550.4,cuKernelGetFunction
1.7,42783047,194,220531.2,205836.5,5701,652568,82940.3,cudaMalloc
1.3,33720752,220,153276.1,168329.0,6201,541118,66265.1,cudaStreamSynchronize
1.1,26894249,6904,3895.5,1423.0,702,14134040,170112.2,cudaOccupancyMaxActiveBlocksPerMultiprocessor
0.6,13805346,4,3451336.5,3993934.0,1014958,4802520,1693025.1,cuLibraryLoadData
0.5,11770362,735,16014.1,10650.0,7133,217969,18371.3,cuLaunchKernel
0.4,11011046,2,5505523.0,5505523.0,2324,11008722,7782698.7,cudaFree
0.1,1953175,1300,1502.4,270.0,70,272777,15450.4,cuGetProcAddress_v2
0.0,590056,36,16390.4,626.0,451,549608,91423.2,cudaEventCreateWithFlags
0.0,448861,6,74810.2,16015.0,11602,358260,139093.6,cuLibraryGetKernel
0.0,196854,4,49213.5,1292.5,962,193307,96062.6,cuInit
0.0,175934,4,43983.5,491.0,381,174571,87058.4,cuModuleGetLoadingMode
0.0,20299,1,20299.0,20299.0,20299,20299,0.0,cuCtxSynchronize
0.0,10269,2,5134.5,5134.5,1813,8456,4697.3,cudaGetDeviceProperties_v2_v12000
0.0,2165,2,1082.5,1082.5,501,1664,822.4,cudaGetDriverEntryPoint_v11030
0.0,1341,4,335.3,345.0,270,381,46.9,cuDeviceGetLuid
