Time (%),Total Time (ns),Num Calls,Avg (ns),Med (ns),Min (ns),Max (ns),StdDev (ns),Name
49.4,525772051,20642,25471.0,13847.0,7424,24227577,335482.8,cudaLaunchKernel
30.4,323566235,220,1470755.6,607013.5,16021,7755831,1446104.5,cudaMemcpyAsync
4.7,50568495,102,495769.6,1423.0,450,50405197,4990698.2,cudaStreamIsCapturing_v10000
3.8,40758653,2535,16078.4,14557.0,9608,246533,7816.4,cudaMemsetAsync
3.8,40109389,220,182315.4,205235.0,10791,358622,71906.8,cudaStreamSynchronize
2.5,26410343,26,1015782.4,1521445.0,1904,2269080,899533.3,cudaDeviceSynchronize
2.0,20894540,101,206876.6,178318.0,4248,2501752,235689.1,cudaMalloc
1.5,16289739,13020,1251.1,491.0,260,2588407,38015.4,cuKernelGetFunction
0.9,9330411,4,2332602.8,2687614.5,602655,3352527,1195835.3,cuLibraryLoadData
0.6,6595279,2551,2585.4,1322.0,692,2535656,50261.6,cudaOccupancyMaxActiveBlocksPerMultiprocessor
0.4,4280300,1,4280300.0,4280300.0,4280300,4280300,0.0,cudaFree
0.1,597381,1300,459.5,251.0,70,182947,5088.6,cuGetProcAddress_v2
0.0,49314,4,12328.5,12163.0,11272,13716,1128.2,cuLibraryGetKernel
0.0,19457,18,1080.9,551.0,421,9388,2081.1,cudaEventCreateWithFlags
0.0,12274,1,12274.0,12274.0,12274,12274,0.0,cuCtxSynchronize
0.0,7815,4,1953.8,951.5,642,5270,2228.3,cuInit
0.0,6161,2,3080.5,3080.5,1933,4228,1622.8,cudaGetDeviceProperties_v2_v12000
0.0,4639,4,1159.8,646.5,170,3176,1385.4,cuModuleGetLoadingMode
0.0,1362,4,340.5,340.5,230,451,127.0,cuDeviceGetLuid
0.0,912,2,456.0,456.0,261,651,275.8,cudaGetDriverEntryPoint_v11030
