Time (%),Total Time (ns),Num Calls,Avg (ns),Med (ns),Min (ns),Max (ns),StdDev (ns),Name
75.2,44985064739,59315,758409.6,12233.0,5290,1962482686,24490268.5,cudaLaunchKernel
13.7,8184876623,26,314802947.0,228460201.5,2094,1844404500,439989709.3,cudaDeviceSynchronize
10.1,6015881317,7590,792606.2,11396.5,6292,1681233677,27180458.5,cudaMemsetAsync
0.6,348828293,970,359616.8,24662.0,13686,7794524,931829.7,cudaMemcpyAsync
0.2,99414905,461,215650.6,157910.0,4138,14325338,717497.5,cudaMalloc
0.1,81229731,474,171370.7,1312.5,491,80245404,3685713.2,cudaStreamIsCapturing_v10000
0.1,38140544,220,173366.1,204453.0,8175,525568,80118.2,cudaStreamSynchronize
0.1,35098095,39795,882.0,470.0,280,3792573,30655.1,cuKernelGetFunction
0.0,20091095,6904,2910.1,1282.0,501,5563277,71368.3,cudaOccupancyMaxActiveBlocksPerMultiprocessor
0.0,12322375,4,3080593.8,3782013.5,684901,4073447,1614781.9,cuLibraryLoadData
0.0,10230121,2,5115060.5,5115060.5,2214,10227907,7230656.9,cudaFree
0.0,8792402,735,11962.5,9198.0,7194,239084,12819.2,cuLaunchKernel
0.0,1493636,1300,1149.0,260.0,70,211582,12092.4,cuGetProcAddress_v2
0.0,603470,36,16763.1,646.5,421,562539,93572.8,cudaEventCreateWithFlags
0.0,299349,6,49891.5,11873.0,10239,242220,94226.3,cuLibraryGetKernel
0.0,236084,4,59021.0,1317.5,1002,232447,115617.5,cuInit
0.0,176414,4,44103.5,485.5,250,175193,87393.1,cuModuleGetLoadingMode
0.0,15289,1,15289.0,15289.0,15289,15289,0.0,cuCtxSynchronize
0.0,6583,2,3291.5,3291.5,1453,5130,2600.0,cudaGetDeviceProperties_v2_v12000
0.0,2254,4,563.5,481.0,340,952,268.5,cuDeviceGetLuid
0.0,1262,2,631.0,631.0,411,851,311.1,cudaGetDriverEntryPoint_v11030
