Time (%),Total Time (ns),Instances,Avg (ns),Med (ns),Min (ns),Max (ns),StdDev (ns),Name
24.7,14350805690,6855,2093480.0,12256.0,5632,52751385,6555958.6,"void at::native::elementwise_kernel<(int)128, (int)2, void at::native::gpu_kernel_impl_nocast<at::native::direct_copy_kernel_cuda(at::TensorIteratorBase &)::[lambda() (instance 3)]::operator ()() const::[lambda() (instance 7)]::operator ()() const::[lambda(float) (instance 1)]>(at::TensorIteratorBase &, const T1 &)::[lambda(int) (instance 1)]>(int, T3)"
22.2,12894593557,2535,5086624.7,542381.0,108547,204427914,15353094.0,ampere_sgemm_128x64_tn
13.3,7711515576,2160,3570146.1,407225.0,111042,134134076,8911259.8,ampere_sgemm_128x64_nt
5.9,3444814930,5820,591892.6,57569.0,1088,489930326,6862176.6,"void at::native::vectorized_elementwise_kernel<(int)4, at::native::BinaryFunctor<float, float, float, at::native::binary_internal::MulFunctor<float>>, std::array<char *, (unsigned long long)3>>(int, T2, T3)"
4.0,2326549538,315,7385871.5,630286.0,203236,577641998,36086602.3,"void at::native::<unnamed>::multi_tensor_apply_kernel<at::native::<unnamed>::TensorListMetadata<(int)2>, at::native::<unnamed>::TernaryOpScalarFunctor<float, (int)2, (int)2, (int)0>, at::native::LerpFunctor<float>, float>(T1, T2, T3...)"
3.4,1976994394,315,6276172.7,413769.0,399657,540569846,33148164.9,"void at::native::<unnamed>::multi_tensor_apply_kernel<at::native::<unnamed>::TensorListScalarListMetadata<float, (int)1>, at::native::<unnamed>::BinaryOpScalarListFunctor<float, (int)1, (int)1, (int)0>, std::divides<float>>(T1, T2, T3...)"
3.2,1847495568,315,5865065.3,630703.0,202853,134588140,13758659.5,"void at::native::<unnamed>::multi_tensor_apply_kernel<at::native::<unnamed>::TensorListMetadata<(int)3>, at::native::<unnamed>::PointwiseOpScalarFunctor<float, (int)3, (int)3, (int)0>, std::multiplies<float>, float>(T1, T2, T3...)"
3.0,1754209771,360,4872804.9,492107.5,408041,192873821,12168195.4,ampere_sgemm_64x64_nt
2.9,1671655367,720,2321743.6,416330.0,378600,14052770,3458902.1,void cutlass::Kernel2<cutlass_80_simt_sgemm_256x128_8x4_nn_align1>(T1::Params)
2.2,1299103686,1800,721724.3,138339.0,111202,21881876,1888436.2,ampere_sgemm_128x64_nn
