Time (%),Total Time (ns),Num Calls,Avg (ns),Med (ns),Min (ns),Max (ns),StdDev (ns),Name
74.7,896815890,28832,31104.9,18379.5,6742,53047659,423884.7,cudaLaunchKernel
9.8,117310325,502,233685.9,32211.0,15690,6214973,621786.9,cudaMemcpyAsync
6.5,77552341,3825,20275.1,17934.0,6172,224146,13873.4,cudaMemsetAsync
2.1,25180054,19620,1283.4,591.0,261,3392980,40385.7,cuKernelGetFunction
2.0,24108300,71,339553.5,1984.0,752,23947247,2841742.7,cudaStreamIsCapturing_v10000
1.5,17569847,112,156873.6,169732.5,8597,430689,68335.0,cudaStreamSynchronize
1.3,15432561,73,211404.9,217694.0,3426,389375,77800.6,cudaMalloc
0.9,10852334,3861,2810.8,1503.0,601,2993239,48348.3,cudaOccupancyMaxActiveBlocksPerMultiprocessor
0.9,10701621,4,2675405.3,3275150.0,718987,3432334,1307254.1,cuLibraryLoadData
0.3,4126950,2,2063475.0,2063475.0,2074,4124876,2915261.3,cudaFree
0.0,461045,26,17732.5,20779.5,1783,78669,16671.0,cudaDeviceSynchronize
0.0,384007,1300,295.4,241.0,70,7064,364.4,cuGetProcAddress_v2
0.0,49111,4,12277.8,11120.5,8315,18555,4664.1,cuLibraryGetKernel
0.0,40804,36,1133.4,556.0,340,8055,1525.9,cudaEventCreateWithFlags
0.0,19016,1,19016.0,19016.0,19016,19016,0.0,cuCtxSynchronize
0.0,5801,4,1450.3,796.5,701,3507,1372.6,cuInit
0.0,5199,4,1299.8,305.0,241,4348,2032.9,cuModuleGetLoadingMode
0.0,4469,2,2234.5,2234.5,1163,3306,1515.3,cudaGetDeviceProperties_v2_v12000
0.0,1463,4,365.8,380.5,271,431,69.4,cuDeviceGetLuid
0.0,782,2,391.0,391.0,261,521,183.8,cudaGetDriverEntryPoint_v11030
