Time (%),Total Time (ns),Instances,Avg (ns),Med (ns),Min (ns),Max (ns),StdDev (ns),Name
24.1,235375848,1275,184608.5,85795.0,69442,1015897,150707.8,ampere_sgemm_128x64_tn
21.0,205076631,1275,160844.4,73633.0,67009,1231262,131527.8,ampere_sgemm_128x64_nt
20.4,198560737,1260,157587.9,78242.0,66881,887253,107613.4,ampere_sgemm_128x64_nn
7.8,76045443,3435,22138.4,9280.0,4064,537581,33646.4,"void at::native::elementwise_kernel<(int)128, (int)2, void at::native::gpu_kernel_impl_nocast<at::native::direct_copy_kernel_cuda(at::TensorIteratorBase &)::[lambda() (instance 3)]::operator ()() const::[lambda() (instance 7)]::operator ()() const::[lambda(float) (instance 1)]>(at::TensorIteratorBase &, const T1 &)::[lambda(int) (instance 1)]>(int, T3)"
7.1,69098796,2940,23503.0,11713.0,1088,56769,18707.9,"void at::native::vectorized_elementwise_kernel<(int)4, at::native::BinaryFunctor<float, float, float, at::native::binary_internal::MulFunctor<float>>, std::array<char *, (unsigned long long)3>>(int, T2, T3)"
3.3,31710174,3435,9231.5,7392.0,2144,54593,9866.6,"void at::native::vectorized_elementwise_kernel<(int)4, at::native::CUDAFunctor_add<float>, std::array<char *, (unsigned long long)3>>(int, T2, T3)"
2.6,25470965,375,67922.6,36225.0,34145,1131356,156718.6,ampere_sgemm_128x128_nn
2.6,25177976,4380,5748.4,5760.0,3007,10881,1305.6,"void at::native::elementwise_kernel<(int)128, (int)2, void at::native::gpu_kernel_impl_nocast<at::native::BinaryFunctor<float, float, float, at::native::binary_internal::MulFunctor<float>>>(at::TensorIteratorBase &, const T1 &)::[lambda(int) (instance 1)]>(int, T3)"
1.3,12580492,360,34945.8,34912.0,32160,37857,1117.7,ampere_sgemm_128x128_nt
1.2,11885432,720,16507.5,17040.5,12544,19520,1437.6,"void at::native::elementwise_kernel<(int)128, (int)2, void at::native::gpu_kernel_impl_nocast<at::native::BinaryFunctor<float, float, float, at::native::binary_internal::DivFunctor<float>>>(at::TensorIteratorBase &, const T1 &)::[lambda(int) (instance 1)]>(int, T3)"
0.9,8847223,360,24575.6,24513.0,21313,27616,1576.2,ampere_sgemm_128x128_tn
0.9,8527760,180,47376.4,46977.0,45953,55650,1434.7,"void at::native::vectorized_elementwise_kernel<(int)4, at::native::sigmoid_backward_kernel_cuda(at::TensorIteratorBase &)::[lambda() (instance 2)]::operator ()() const::[lambda() (instance 2)]::operator ()() const::[lambda(float, float) (instance 1)], std::array<char *, (unsigned long long)3>>(int, T2, T3)"
0.8,7843994,915,8572.7,8320.0,5920,13057,2189.1,"void at::native::reduce_kernel<(int)512, (int)1, at::native::ReduceOp<float, at::native::func_wrapper_t<float, at::native::sum_functor<float, float, float>::operator ()(at::TensorIterator &)::[lambda(float, float) (instance 1)]>, unsigned int, float, (int)4>>(T3)"
0.6,5526342,180,30701.9,30305.0,28800,37121,1511.2,"void at::native::vectorized_elementwise_kernel<(int)4, at::native::sigmoid_kernel_cuda(at::TensorIteratorBase &)::[lambda() (instance 2)]::operator ()() const::[lambda() (instance 2)]::operator ()() const::[lambda(float) (instance 1)], std::array<char *, (unsigned long long)2>>(int, T2, T3)"
