Time (%),Total Time (ns),Num Calls,Avg (ns),Med (ns),Min (ns),Max (ns),StdDev (ns),Name
61.0,427060334,10382,41134.7,22713.0,8887,23544764,442934.6,cudaLaunchKernel
16.2,113606865,112,1014347.0,411538.0,26030,6590693,1115713.2,cudaMemcpyAsync
5.3,36912581,34,1085664.1,2088.5,571,36826828,6315303.4,cudaStreamIsCapturing_v10000
4.5,31259718,1275,24517.4,22543.0,10420,143393,12356.6,cudaMemsetAsync
2.9,20251368,6540,3096.5,692.0,311,5022456,95453.3,cuKernelGetFunction
2.3,15816473,26,608325.9,660345.0,3898,2049666,606531.3,cudaDeviceSynchronize
2.2,15371778,112,137248.0,155290.5,7404,492296,70155.3,cudaStreamSynchronize
2.1,14853924,4,3713481.0,4451185.0,615460,5336094,2142719.3,cuLibraryLoadData
1.3,9232617,33,279776.3,303858.0,4558,439585,94364.1,cudaMalloc
1.2,8169920,1291,6328.4,1804.0,721,4626874,128924.9,cudaOccupancyMaxActiveBlocksPerMultiprocessor
1.1,7459779,1,7459779.0,7459779.0,7459779,7459779,0.0,cudaFree
0.1,495475,1300,381.1,281.0,70,6523,454.3,cuGetProcAddress_v2
0.0,50777,4,12694.3,14167.0,7765,14678,3295.3,cuLibraryGetKernel
0.0,23726,18,1318.1,531.0,421,11291,2531.4,cudaEventCreateWithFlags
0.0,21921,1,21921.0,21921.0,21921,21921,0.0,cuCtxSynchronize
0.0,6644,4,1661.0,1077.5,742,3747,1402.3,cuInit
0.0,5531,4,1382.8,546.5,200,4238,1917.8,cuModuleGetLoadingMode
0.0,5280,2,2640.0,2640.0,1112,4168,2160.9,cudaGetDeviceProperties_v2_v12000
0.0,2996,2,1498.0,1498.0,1002,1994,701.4,cudaGetDriverEntryPoint_v11030
0.0,1843,4,460.8,450.5,211,731,218.3,cuDeviceGetLuid
