Time (%),Total Time (ns),Num Calls,Avg (ns),Med (ns),Min (ns),Max (ns),StdDev (ns),Name
59.6,1138249040,29894,38076.2,15349.0,5571,62745785,683824.7,cudaLaunchKernel
20.1,383401766,26,14746221.8,22415049.5,6893,33935526,13738023.8,cudaDeviceSynchronize
6.0,113857553,502,226807.9,32832.5,16301,6034353,606519.8,cudaMemcpyAsync
5.0,94916337,155,612363.5,1483.0,531,94092128,7557354.9,cudaStreamIsCapturing_v10000
3.8,72528654,3825,18961.7,15219.0,6482,633091,18055.6,cudaMemsetAsync
1.3,25436057,142,179127.2,180620.5,4358,548161,69649.4,cudaMalloc
1.3,25306241,19620,1289.8,531.0,270,3437759,42064.3,cuKernelGetFunction
1.0,18555211,112,165671.5,171947.0,8416,430357,71415.0,cudaStreamSynchronize
0.6,11556159,4,2889039.8,3527284.5,611311,3890279,1528238.3,cuLibraryLoadData
0.6,11321526,3861,2932.3,1332.0,581,3866115,62348.7,cudaOccupancyMaxActiveBlocksPerMultiprocessor
0.6,10651052,2,5325526.0,5325526.0,2385,10648667,7528058.2,cudaFree
0.1,1348780,1300,1037.5,261.0,80,218725,11617.5,cuGetProcAddress_v2
0.0,544464,36,15124.0,601.5,430,513846,85499.0,cudaEventCreateWithFlags
0.0,286524,4,71631.0,12383.5,10971,250786,119439.1,cuLibraryGetKernel
0.0,205741,4,51435.3,1102.0,852,202685,100833.3,cuInit
0.0,189479,4,47369.8,360.5,260,188498,94085.5,cuModuleGetLoadingMode
0.0,21221,1,21221.0,21221.0,21221,21221,0.0,cuCtxSynchronize
0.0,12193,2,6096.5,6096.5,2665,9528,4852.9,cudaGetDeviceProperties_v2_v12000
0.0,1734,4,433.5,426.0,351,531,76.8,cuDeviceGetLuid
0.0,801,2,400.5,400.5,270,531,184.6,cudaGetDriverEntryPoint_v11030
